cy_muhudie,木蝴蝶,36,15,10,140,0,muhudie:100
cy_luohanguo,罗汉果,24,15,10,140,0,luohanguo:100
cy_gancao,甘草,24,15,100,200,15,gancao:100
cy_gouqizi,枸杞子,24,15,100,200,15,gouqizi:100
cy_madouling,马兜铃,24,15,150,240,30,madouling:100
cy_maozhuacao,猫爪草,24,15,150,240,30,maozhuacao:100
cy_jiulixiang,九里香,16,15,200,280,45,jiulixiang:100
cy_luxiancao,鹿衔草,16,15,200,280,45,luxiancao:100
cy_mingdangsen,明党参,16,15,250,320,60,mingdangsen:100
cy_juemingzi,决明子,16,15,250,320,75,juemingzi:100
cy_huomaren,火麻仁,16,15,300,380,90,huomaren:100
cy_heshouwu,何首乌,8,60,200,420,105,heshouwu:100
cy_longdancao,龙胆草,8,60,200,420,105,longdancao:100
cy_lingzhi,灵芝,8,60,200,420,105,lingzhi:100
cy_dingxiangcao,丁香草,36,15,420,520,105,dingxiangcao:100
cy_liangmianzhen,两面针,24,15,470,570,105,liangmianzhen:100
cy_qiyelian,七叶莲,24,15,520,620,110,qiyelian:100
cy_niuhuang,牛黄,24,15,570,670,115,niuhuang:100
cy_xieteng,血藤,24,15,620,720,120,xieteng:100
cy_ziyancao,紫烟草,24,15,670,770,125,ziyancao:100
cy_chuanbeimu,川贝母,16,15,720,820,130,chuanbeimu:100
cy_tiandongcao,天冬草,16,15,770,870,135,tiandongcao:100
cy_mumianhua,木棉花,16,15,820,920,140,mumianhua:100
cy_taiyanghua,太阳花,16,15,870,970,145,taiyanghua:100
cy_ganluzi,甘露子,16,15,920,1020,150,ganluzi:100
cy_zitianlian,紫天葵,8,30,970,1200,150,zitianlian:100
cy_xuelianhua,雪莲花,8,30,1020,1200,150,xuelianhua:100
cy_yuanyingsen,元婴参,8,30,1020,1200,150,yuanyingsen:100
cy_fenghuangdan,凤凰丹,4,60,1,1200,150,fenghuangdan:100
